category,scientific_name,conservation_status,common_names
Vascular Plant,Cryptantha watsonii,Least Concern,Watson's Cryptantha
Vascular Plant,Cryptantha torreyana,Least Concern,"Torrey's Cryptantha, Torrey's Cat's-Eye"
Vascular Plant,Cryptantha spiculifera,Least Concern,Snake River Cryptantha
Vascular Plant,Cryptantha fendleri,Least Concern,"Fendler's Cryptantha, Sanddune Catseye, Sanddune Cryptantha"
Vascular Plant,Cryptantha celosioides,Least Concern,"Minerscandle, Buttecandle"
Vascular Plant,Cryptantha ambigua,Least Concern,"Basin Cryptantha, Wilkes Cryptantha, Wickes Cryptantha"
Vascular Plant,Cryptantha affinis,Least Concern,"Quill Cryptantha, Common Cryptantha"
Vascular Plant,Asperugo procumbens,Least Concern,"Madwort, German Mugwort, German-Madwort"
Vascular Plant,Amsinckia menziesii,Least Concern,"Small-Flower Fiddleneck, Smallflower Fiddleneck, Menzies' Fiddleneck"
Vascular Plant,Menyanthes trifoliata,Least Concern,"Common Bogbean, Buck-Bean, Buckbean, Bog-Bean"
Vascular Plant,Mertensia oblongifolia,Least Concern,"Languid-Lady, Oblongleaf Bluebells"
Vascular Plant,Erigeron glabellus var. glabellus,Least Concern,"Streamside Fleabane, Rough Fleabane"
Vascular Plant,Erigeron formosissimus var. viscidus,Least Concern,Beautiful Fleabane
Vascular Plant,Erigeron eatonii var. eatonii,Least Concern,"Eaton's Daisy, Eaton's Fleabane"
Vascular Plant,Lomatium macrocarpum,Least Concern,"Bigseed Biscuitroot, Largefruit Biscuitroot, Long Mamma, Bigseed Lomatium, Large-Fruit Desert-Parsley"
Vascular Plant,Lomatium dissectum var. multifidum,Least Concern,Carrotleaf Biscuitroot
Vascular Plant,Lomatium cous,Least Concern,"Cous' Biscuitroot, Cous Biscuitroot, Cous-Root Desert-Parsley"
Vascular Plant,Lomatium ambiguum,Least Concern,Wyeth Biscuitroot
Vascular Plant,Ligusticum filicinum,Least Concern,"Fernleaf Licoriceroot, Fernleaf Licorice-Root"
Vascular Plant,Ligusticum canbyi,Least Concern,"Canby's Licorice-Root, Canby's Lovage"
Vascular Plant,Cymopterus nivalis,Least Concern,Snowline Springparsley
Vascular Plant,Musineon divaricatum,Least Concern,"Leafy Wild Parsley, Leafy Musineon, Leafy Wildparsley, Wildparsley"
Vascular Plant,Bupleurum americanum,Least Concern,American Thorow Wax
Vascular Plant,Angelica roseana,Least Concern,Rose Angelica
Vascular Plant,Angelica pinnata,Least Concern,"Smallleaf Angelica, Small-Leaf Angelica"
Vascular Plant,Angelica arguta,Least Concern,"Angelica, Lyall's Angelica, Sharptooth Angelica"
Vascular Plant,Scheuchzeria palustris,Least Concern,Rannoch-Rush
Vascular Plant,Ruppia cirrhosa,Least Concern,Spiral Ditchgrass
Vascular Plant,Zannichellia palustris,Least Concern,"Horned Poolmat, Horned Pondweed, Horned-Pondweed"
Vascular Plant,Cicuta maculata var. angustifolia,Least Concern,"Spotted Parsley, Common Water Hemlock, Water Hemlock, Spotted Water Hemlock, Poison Parsnip, Spotted Cowbane, Spotted Water-Hemlock"
Vascular Plant,Orogenia linearifolia,Least Concern,"Indianpotato, Great Basin Indian Potato"
Vascular Plant,Osmorhiza berteroi,Least Concern,"Mountain Sweetroot, Sweetcicely, Sweet Cicely"
Vascular Plant,Osmorhiza depauperata,Least Concern,"Blunt-Fruit Sweet-Cicely, Bluntseed Sweetroot"
Vascular Plant,Calypso bulbosa,Least Concern,"Fairyslipper, Fairy-Slipper Orchid, Fairy Slipper, Fairyslipper Orchid"
Vascular Plant,Sisyrinchium montanum,Least Concern,"Strict Blue-Eyed Grass, Strict Blue-Eyed-Grass, Mountain Blueeyed Grass, Mountain Blue-Eyed Grass"
Vascular Plant,Sisyrinchium idahoense var. occidentale,Least Concern,Idaho Blue-Eyed Grass
Vascular Plant,Sisyrinchium idahoense var. idahoense,Least Concern,Idaho Blue-Eyed Grass
Vascular Plant,Yucca glauca,Least Concern,"Spanish Bayonet, Soapweed Yucca, Small Soapweed, Beargrass, Yucca, Great Plains Yucca"
Vascular Plant,Triteleia grandiflora var. grandiflora,Least Concern,Largeflower Triteleia
Vascular Plant,Maianthemum stellatum,Least Concern,"Starry False Solomon's Seal, Starry False Lily Of The Valley, Starry Solomon's-Seal, Little False Solomon's-Seal, Starry False Solomon's-Seal, Star-Flower Solomon's-Seal, False Solomon's Seal, Star False Solomon's-Seal"
Vascular Plant,Camassia quamash,Least Concern,"Small Camas, Common Camas"
Vascular Plant,Allium textile,Least Concern,"Prairie Onion, Wild Onion, Textile Onion"
Vascular Plant,Allium schoenoprasum,Least Concern,"Wild Chives, Wild Chive"
Vascular Plant,Allium geyeri var. tenerum,Least Concern,Bulbil Onion
Vascular Plant,Allium cernuum,Least Concern,Nodding Onion
Vascular Plant,Allium brevistylum,Least Concern,Shortstyle Onion
Vascular Plant,Allium brandegeei,Least Concern,Brandegee's Onion
Vascular Plant,Sanicula graveolens,Least Concern,"Sierra Sanicle, Northern Sanicle"
Vascular Plant,Stuckenia vaginata,Least Concern,Sheathed Pondweed
Vascular Plant,Corallorrhiza mertensiana,Least Concern,Pacific Coralroot
Vascular Plant,Stuckenia filiformis ssp. occidentalis,Least Concern,"Western Fineleaf Pondweed, Slender Pondweed"
Vascular Plant,Potamogeton zosteriformis,Least Concern,Flat-Stemmed Pondweed
Vascular Plant,Sagittaria cuneata,Least Concern,"Arumleaf Arrowhead, Arum-Leaf Arrowhead, Nothern Arrowhead, Wapato"
Vascular Plant,Alisma triviale,Least Concern,"Northern Water-Plantain, Northern Water Plantain"
Vascular Plant,Dodecatheon pulchellum var. pulchellum,Least Concern,"Shooting Star, Slimpod Shooting Star, Beautiful Shooting Star"
Fish,Thymallus arcticus,Least Concern,Arctic Grayling
Fish,Salvelinus namaycush,Least Concern,Lake Trout
Fish,Prosopium williamsoni,Least Concern,Mountain Whitefish
Vascular Plant,Lemna trisulca,Least Concern,"Star Duckweed, Ivy-Leaf Duckweed"
Fish,Oncorhynchus clarkii lewisi,Least Concern,Westslope Cutthroat Trout
Fish,Oncorhynchus clarki behnkei,Least Concern,Finespotted Snake River Cutthroat Trout
Fish,Richardsonius balteatus,Least Concern,Redside Shiner
Fish,Rhinichthys osculus,Least Concern,Speckled Dace
Fish,Gila atraria,Least Concern,Utah Chub
Fish,Couesius plumbeus,Least Concern,Lake Chub
Fish,Catostomus platyrhynchus,Least Concern,Mountain Sucker
Fish,Catostomus catostomus,Least Concern,Longnose Sucker
Fish,Catostomus ardens,Least Concern,Utah Sucker
Fish,Oncorhynchus clarkii bouvieri,Least Concern,Yellowstone Cutthroat Trout
Vascular Plant,Lemna turionifera,Least Concern,Turion Duckweed
Vascular Plant,Lysichiton americanus,Least Concern,American Skunkcabbage
Vascular Plant,Potamogeton strictifolius,Least Concern,"Narrowleaf Pondweed, Straight-Leaf Pondweed"
Vascular Plant,Potamogeton robbinsii,Least Concern,"Robbins' Pondweed, Robbins Pondweed"
Vascular Plant,Potamogeton pusillus ssp. tenuissimus,Least Concern,Small Pondweed
Vascular Plant,Potamogeton pusillus ssp. pusillus,Least Concern,Small Pondweed
Vascular Plant,Potamogeton pusillus,Least Concern,"Small Pondweed, Baby Pondweed"
Vascular Plant,Potamogeton praelongus,Least Concern,"White-Stem Pondweed, Whitestem Pondweed"
Vascular Plant,Potamogeton obtusifolius,Least Concern,Bluntleaf Pondweed
Vascular Plant,Potamogeton natans,Least Concern,"Floating Pondweed, Broadleaf Pondweed, Floatingleaf Pondweed"
Vascular Plant,Potamogeton gramineus,Least Concern,"Grassy Pondweed, Variableleaf Pondweed"
Vascular Plant,Potamogeton friesii,Least Concern,"Flat-Stalk Pondweed, Fries' Pondweed"
Vascular Plant,Potamogeton foliosus ssp. foliosus,Least Concern,Leafy Pondweed
Vascular Plant,Potamogeton foliosus ssp. fibrillosus,Least Concern,Leafy Pondweed
Vascular Plant,Potamogeton alpinus,Least Concern,Alpine Pondweed
Vascular Plant,Triglochin palustre,Least Concern,Slender Arrow-Grass
Vascular Plant,Elodea canadensis,Least Concern,"Canada Waterweed, Canadian Waterweed, Broad Waterweed"
Vascular Plant,Stuckenia filiformis ssp. alpinus,Least Concern,"Northern Slender Pondweed, Fineleaf Pondweed"
Vascular Plant,Humulus lupulus,Least Concern,"Common Hops, Hops, Common Hop"
Vascular Plant,Corallorrhiza striata,Least Concern,"Striped Coralroot, Hooded Coralroot"
Vascular Plant,Chrysanthemum leucanthemum,Least Concern,"Ox-Eye Daisy, Oxeye Daisy"
Vascular Plant,Centaurea repens,Least Concern,"Hardheads, Russian Knapweed"
Vascular Plant,Centaurea pratensis,Least Concern,Meadow Knapweed
Vascular Plant,Centaurea maculosa,Least Concern,Spotted Knapweed
Vascular Plant,Centaurea diffusa,Least Concern,"White Knapweed, Diffuse Knapweed"
Vascular Plant,Brickellia grandiflora,Least Concern,"Tasselflower Brickellia, Tasselflower Brickellbush, Mountain Brickellbush"
Vascular Plant,Chrysothamnus viscidiflorus var. viscidiflorus,Least Concern,Yellow Rabbitbrush
Vascular Plant,Balsamorhiza sagittata,Least Concern,Arrowleaf Balsamroot
Vascular Plant,Artemisia scopulorum,Least Concern,"Dwarf Sagebrush, Alpine Sagebrush"
Vascular Plant,Artemisia nova,Least Concern,Black Sagebrush
Vascular Plant,Artemisia michauxiana,Least Concern,"Michaux's Wormwood, Michaux's Sagebrush, Michaux's Sagewort"
Vascular Plant,Artemisia frigida,Least Concern,"Prairie Sagewort, Fringed Sagewort, Fringed Sagebrush"
Vascular Plant,Artemisia dracunculus,Least Concern,"Silky Wormwood, Wormwood, Tarragon, Green Sagewort, False Tarragon"
Vascular Plant,Artemisia biennis var. biennis,Least Concern,Biennial Wormwood
Vascular Plant,Artemisia absinthium,Least Concern,"Common Sagewort, Absinth Sagewort, Absinthium, Absinth Wormwood"
Vascular Plant,Arnica sororia,Least Concern,Twin Arnica
Vascular Plant,Artemisia tridentata var. tridentata,Least Concern,"Big Sagebrush, Basin Sagebrush"
Vascular Plant,Cirsium canovirens,Least Concern,Graygreen Thistle
Vascular Plant,Erigeron corymbosus,Least Concern,Longleaf Fleabane
Vascular Plant,Erigeron caespitosus,Least Concern,Tufted Fleabane
Vascular Plant,Erigeron acris var. kamtschaticus,Least Concern,"Blue Fleabane, Bitter Daisy, Bitter Fleabane"
Vascular Plant,Ericameria suffruticosa,Least Concern,"Single-Head Heath-Goldenrod, Singlehead Goldenbush, Bighead Goldenbush"
Vascular Plant,Ericameria nauseosa var. oreophila,Least Concern,Rubber Rabbitbrush
Vascular Plant,Ericameria nauseosa var. nauseosa,Least Concern,Rubber Rabbitbrush
Vascular Plant,Ericameria discoidea var. linearis,Least Concern,Whitestem Goldenbush
Vascular Plant,Crepis tectorum,Least Concern,"Narrowleaf Hawksbeard, Narrow-Leaf Hawk's-Beard, Narrowleaved Hawk's Beard"
Vascular Plant,Crepis occidentalis ssp. costata,Least Concern,Largeflower Hawksbeard
Vascular Plant,Crepis modocensis,Least Concern,"Modoc Hawksbeard, Common Hawksbeard, Siskiyou Hawksbeard"
Vascular Plant,Crepis intermedia,Least Concern,"Limestone Hawksbeard, Gray Hawksbeard"
Vascular Plant,Crepis elegans,Least Concern,Elegant Hawksbeard
Vascular Plant,Crepis atribarba,Least Concern,"Hawksbeard, Slender Hawksbeard"
Vascular Plant,Crepis acuminata,Least Concern,"Longleaf Hawksbeard, Tapertip Hawksbeard, Long-Leaf Hawksbeard"
Vascular Plant,Cirsium undulatum,Least Concern,"Wavy-Leaf Thistle, Wavyleaf Thistle, Gray Thistle"
Vascular Plant,Cirsium foliosum,Least Concern,"Leafy Thistle, Drummond's Thistle, Meadow Thistle, Elk Thistle"
Vascular Plant,Cirsium eatonii,Least Concern,"Eaton's Thistle, Mountaintop Thistle"
Vascular Plant,Arnica rydbergii,Least Concern,"Rydberg's Arnica, Subalpine Arnica"
Vascular Plant,Corallorrhiza trifida,Least Concern,"Yellow Coralroot, Early Coralroot"
Vascular Plant,Arnica parryi,Least Concern,"Nodding Arnica, Sonne's Arnica, Parry's Arnica"
Vascular Plant,Arnica longifolia,Least Concern,"Spearleaf Arnica, Longleaf Arnica"
Vascular Plant,Agoseris lackschewitzii,Least Concern,Mill Creek Agoseris
Vascular Plant,Agoseris glauca var. laciniata,Least Concern,"False Agoseris, Arizona Mountain Dandelion"
Vascular Plant,Agoseris glauca var. glauca,Least Concern,Pale Agoseris
Vascular Plant,Agoseris glauca var. dasycephala,Least Concern,"Pale Goat-Chicory, Pale Agoseris"
Vascular Plant,Agoseris aurantiaca,Least Concern,"Orange Agoseris, Orange-Flowered False-Dandelion"
Vascular Plant,Spiranthes romanzoffiana,Least Concern,"Hooded Ladiestresses, Hooded Lady's Tresses, Hooded Ladies'-Tresses"
Vascular Plant,Platanthera stricta,Least Concern,"Modoc Bog Orchid, Slender Bog Orchid"
Vascular Plant,Platanthera obtusata,Least Concern,"Bluntleaved Orchid, Northern Small Bog Orchid"
Vascular Plant,Platanthera hyperborea,Least Concern,"Northern Bog Orchid, Northern Green Orchid"
Vascular Plant,Platanthera dilatata var. albiflora,Least Concern,Scentbottle
Vascular Plant,Piperia unalascensis,Least Concern,"Alaska Bog Orchid, Alaska Rein Orchid, Slender-Spire Orchid, Alaskan Rein-Orchid"
Vascular Plant,Listera cordata,Least Concern,Heartleaf Twayblade
Vascular Plant,Listera convallarioides,Least Concern,"Broadlipped Twayblade, Broadlipped Listera, Broadleaf Twayblade, Broad-Lip Twayblade"
Vascular Plant,Listera caurina,Least Concern,Northwestern Twayblade
Vascular Plant,Listera borealis,Least Concern,"Northern Twayblade, Northern Listera"
Vascular Plant,Goodyera oblongifolia,Least Concern,"Rattlesnake Plantain, Western Rattlesnake Plantain"
Vascular Plant,Epipactis gigantea,Least Concern,"Giant Helleborine, Stream Orchid"
Vascular Plant,Platanthera dilatata var. dilatata,Least Concern,Scentbottle
Vascular Plant,Ambrosia psilostachya,Least Concern,"Cuman Ragweed, Perennial Ragweed, Western Ragweed"
Vascular Plant,Anaphalis margaritacea,Least Concern,"Pearly-Everlasting, Common Pearlyeverlasting, Western Pearly Everlasting, Western Pearlyeverlasting, Pearly Everlasting"
Vascular Plant,Antennaria anaphaloides,Least Concern,"Pussytoes, Pearly Pussytoes, Tall Everlasting"
Vascular Plant,Arnica latifolia,Least Concern,Broadleaf Arnica
Vascular Plant,Arnica fulgens,Least Concern,"Shining Leopardbane, Foothill Arnica, Orange Arnica"
Vascular Plant,Arnica cordifolia,Least Concern,"Heartleaf Arnica, Heart-Leaf Leopardbane"
Vascular Plant,Arctium lappa,Least Concern,"Greater Burdock, Greater Burrdock, Woodland Burdock, Great Burdock"
Vascular Plant,Anthemis tinctoria,Least Concern,Golden Chamomile
Vascular Plant,Antennaria umbrinella,Least Concern,"Brown Everlasting, Umber Pussytoes"
Vascular Plant,Antennaria rosea,Least Concern,"Rosy Pussy-Toes, Rosy Pussytoes"
Vascular Plant,Antennaria racemosa,Least Concern,Raceme Pussytoes
Vascular Plant,Antennaria pulcherrima,Least Concern,Showy Pussytoes
Vascular Plant,Antennaria parvifolia,Least Concern,Smallleaf Pussytoes
Vascular Plant,Antennaria microphylla,Least Concern,"Smallleaf Pussytoes, Rocky Mountain Pussytoes, Small Leaf Everlasting, Littleleaf Pussytoes"
Vascular Plant,Antennaria media,Least Concern,Rocky Mountain Pussytoes
Vascular Plant,Antennaria luzuloides,Least Concern,Rush Pussytoes
Vascular Plant,Antennaria lanata,Least Concern,Woolly Pussytoes
Vascular Plant,Antennaria flagellaris,Least Concern,"Stoloniferous Pussy-Toes, Whip Pussytoes"
Vascular Plant,Antennaria dimorpha,Least Concern,"Low Pussytoes, Low Everlasting"
Vascular Plant,Antennaria corymbosa,Least Concern,"Flattop Pussytoes, Meadow Everlasting, Flat-Top Pussytoes"
Vascular Plant,Antennaria aromatica,Least Concern,Scented Pussytoes
Vascular Plant,Arnica mollis,Least Concern,"Wooly Arnica, Hairy Arnica"
Vascular Plant,Elaeagnus commutata,Least Concern,Silverberry
Vascular Plant,Shepherdia canadensis,Least Concern,"Russet Buffalo-Berry, Russet Buffaloberry"
Vascular Plant,Ceanothus velutinus var. velutinus,Least Concern,Snowbrush Ceanothus
Vascular Plant,Disporum hookeri,Least Concern,Drops Of Gold
Vascular Plant,Clintonia uniflora,Least Concern,Bride's Bonnet
Vascular Plant,Calochortus vestae,Least Concern,Coast Range Mariposa Lily
Vascular Plant,Calochortus venustus,Least Concern,Butterfly Mariposa Lily
Vascular Plant,Calochortus superbus,Least Concern,Yellow Mariposa
Vascular Plant,Calochortus nudus,Least Concern,Naked Mariposa Lily
Vascular Plant,Calochortus minimus,Least Concern,Sierra Mariposa Lily
Vascular Plant,Calochortus luteus,Least Concern,Yellow Mariposa Lily
Vascular Plant,Erythronium purpurascens,Least Concern,Purple Fawnlily
Vascular Plant,Calochortus leichtlinii,Least Concern,"Smokey Mariposa, Leichtlin's Mariposa Lily"
Vascular Plant,Calochortus albus,Least Concern,White Fairy-Lantern
Vascular Plant,Umbellularia californica,Least Concern,California Laurel
Vascular Plant,Calycanthus occidentalis,Least Concern,"California-Allspice, Western Sweetshrub, California Spicebush"
Vascular Plant,Verbena lasiostachys var. lasiostachys,Least Concern,Western Vervain
Vascular Plant,Verbena hastata,Least Concern,"Simpler's-Joy, Blue Verbena, Swamp Verbena, Blue Vervain"
Vascular Plant,Scrophularia desertorum,Least Concern,"Desert Figwort, Mountain Figwort"
Vascular Plant,Scrophularia californica ssp. floribunda,Least Concern,California Figwort
Vascular Plant,Veronica serpyllifolia ssp. humifusa,Least Concern,"Thyme-Leaf Speedwell, Brightblue Speedwell"
Vascular Plant,Calochortus invenustus,Least Concern,Plain Mariposa Lily
Vascular Plant,Fritillaria micrantha,Least Concern,Brown Fritillary
Vascular Plant,Lilium parvum,Least Concern,"Sierra Tiger Lily, Sierra Tigerlily"
Vascular Plant,Salix jepsonii,Least Concern,Jepson's Willow
Vascular Plant,Salix exigua,Least Concern,"Desert Willow, Narrow-Leaved Willow, Sandbar Willow, Narrowleaf Willow, Coyote Willow"
Vascular Plant,Salix brachycarpa ssp. brachycarpa,Least Concern,"Barrenground Willow, Short-Fruited Willow"
Vascular Plant,Salix arctica,Least Concern,Arctic Willow
Vascular Plant,Populus fremontii ssp. fremontii,Least Concern,Fremont's Cottonwood
Vascular Plant,Populus balsamifera ssp. trichocarpa,Least Concern,"Black Cottonwood, Balsam Poplar"
Vascular Plant,Sclerolinon digynum,Least Concern,"Northwestern Yellowflax, Digynum Flax"
Vascular Plant,Linum lewisii var. alpicola,Least Concern,Prairie Flax
Vascular Plant,Fritillaria pinetorum,Least Concern,"Davidson's Fritillary, Pinewoods Fritillary"
Vascular Plant,Hypericum anagalloides,Least Concern,"Creeping St. Johnswort, Tinker's-Penny, Tinker's Penny"
Vascular Plant,Eremocarpus setigerus,Least Concern,"Turkey Mullein, Doveweed"
Vascular Plant,Chamaesyce serpyllifolia ssp. serpyllifolia,Least Concern,"Thymeleaf Sandmat, Thymeleaf Spurge, Thyme-Leaf Sandmat"
Vascular Plant,Zigadenus venenosus var. venenosus,Least Concern,Meadow Deathcamas
Vascular Plant,Zigadenus paniculatus,Least Concern,"Foothill Deathcamas, Sand-Corn"
Vascular Plant,Zigadenus exaltatus,Least Concern,Giant Deathcamas
Vascular Plant,Veratrum californicum var. californicum,Least Concern,"California Falsehellebore, California False Hellebore"
Vascular Plant,Trillium angustipetalum,Least Concern,Narrowpetal Wakerobin
Vascular Plant,Lilium washingtonianum ssp. washingtonianum,Least Concern,Typical Washington Lily
Vascular Plant,Euphorbia crenulata,Least Concern,"Chinesecaps, Chinese Caps"
Vascular Plant,Veronica peregrina ssp. xalapensis,Least Concern,"Neckweed, Hairy Purslane Speedwell"
Vascular Plant,Veronica cusickii,Least Concern,Cusick's Speedwell
Vascular Plant,Mimulus viscidus,Least Concern,Sticky Monkeyflower
Vascular Plant,Mimulus torreyi,Least Concern,Torrey's Monkeyflower
Vascular Plant,Mimulus tilingii,Least Concern,"Subalpine Monkeyflower, Tiling's Monkeyflower, Subalpine Monkey-Flower"
Vascular Plant,Mimulus pulsiferae,Least Concern,Candelabrum Monkeyflower
Vascular Plant,Mimulus pulchellus,Least Concern,Yellowlip Pansy Monkeyflower
Vascular Plant,Mimulus primuloides,Least Concern,"Yellow Creeping Monkey-Flower, Primrose Monkeyflower"
Vascular Plant,Mimulus pilosus,Least Concern,False Monkeyflower
Vascular Plant,Mimulus palmeri,Least Concern,Palmer's Monkeyflower
Vascular Plant,Callitriche heterophylla var. bolanderi,Least Concern,Bolander's Water-Starwort
Vascular Plant,Mimulus montioides,Least Concern,"Mountain Monkeyflower, Mointain Monkeyflower"
Vascular Plant,Mimulus leptaleus,Least Concern,"Least Monkeyflower, Slender Monkeyflower"
Vascular Plant,Mimulus layneae,Least Concern,Layne's Monkeyflower
Vascular Plant,Mimulus laciniatus,Least Concern,Cutleaf Monkeyflower
Vascular Plant,Mimulus kelloggii,Least Concern,Kellogg's Monkeyflower
Vascular Plant,Mimulus inconspicuus,Least Concern,Smallflower Monkeyflower
Vascular Plant,Mimulus douglasii,Least Concern,Brownies
Vascular Plant,Mimulus congdonii,Least Concern,Congdon's Monkeyflower
Vascular Plant,Mimulus cardinalis,Least Concern,"Crimson Monkeyflower, Scarlet Monkey-Flower, Scarlet Monkeyflower"
Vascular Plant,Mimulus mephiticus,Least Concern,"Foul Odor Monkeyflower, Foul-Odor Monkeyflower"
Vascular Plant,Collinsia bartsiifolia var. davidsonii,Least Concern,Davidson's Blue Eyed Mary
Vascular Plant,Collinsia childii,Least Concern,Child's Blue Eyed Mary
Vascular Plant,Collinsia heterophylla,Least Concern,Purple Chinese Houses
Vascular Plant,Plantago erecta,Least Concern,Dotseed Plantain
Vascular Plant,Penstemon speciosus,Least Concern,"Prairie-Clover, Royal Penstemon"
Vascular Plant,Penstemon rydbergii var. oreocharis,Least Concern,Herbaceous Penstemon
Vascular Plant,Penstemon rostriflorus,Least Concern,"Beaked Beardtongue, Bridges' Penstemon, Beakflower Penstemon"
Vascular Plant,Penstemon roezlii,Least Concern,Roezl's Penstemon
Vascular Plant,Penstemon procerus var. formosus,Least Concern,"Pincushion Penstemon, Pincushion Beardtongue"
Vascular Plant,Penstemon heterophyllus var. purdyi,Least Concern,Purdy's Penstemon
Vascular Plant,Penstemon heterodoxus var. heterodoxus,Least Concern,Sierra Beardtongue
Vascular Plant,Penstemon heterodoxus,Least Concern,"Sierra Penstemon, Sierra Beardtongue"
Vascular Plant,Penstemon davidsonii var. davidsonii,Least Concern,Davidson's Penstemon
Vascular Plant,Penstemon azureus var. angustissimus,Least Concern,Azure Penstemon
Vascular Plant,Limosella acaulis,Least Concern,Owyhee Mudwort
Vascular Plant,Gratiola ebracteata,Least Concern,Bractless Hedgehyssop
Vascular Plant,Collinsia torreyi var. wrightii,Least Concern,Wright's Blue Eyed Mary
Vascular Plant,Collinsia torreyi var. torreyi,Least Concern,"Torrey's Blue-Eyed Mary, Torrey's Blue Eyed Mary"
Vascular Plant,Collinsia tinctoria,Least Concern,Sticky Chinese Houses
Vascular Plant,Collinsia linearis,Least Concern,Narrowleaf Blue Eyed Mary
Vascular Plant,Salix laevigata,Least Concern,Red Willow
Vascular Plant,Salix lasiolepis,Least Concern,Arroyo Willow
Vascular Plant,Salix ligulifolia,Least Concern,"Strapleaf Willow, Strap-Leaf Willow"
Vascular Plant,Salix lucida ssp. lasiandra,Least Concern,Pacific Willow
Vascular Plant,Botrychium minganense,Least Concern,"Mingan Island Grapefern, Mingan Moonwort"
Vascular Plant,Nuphar lutea ssp. polysepala,Least Concern,"Yellow Pond-Lily, Rocky Mountain Pondlily, Rocky Mountain Cowlily, Rocky Mountain Pond-Lily"
Vascular Plant,Brasenia schreberi,Least Concern,"Watershield, Schreber's Watershield"
Vascular Plant,Oenothera elata ssp. hirsutissima,Least Concern,"Hooker's Evening Primrose, Hooker's Evening-Primrose, Hooker's Eveningprimrose"
Vascular Plant,Gayophytum heterozygum,Least Concern,"Dwarf Groundsmoke, Zigzag Groundsmoke"
Vascular Plant,Gayophytum eriospermum,Least Concern,Coville's Groundsmoke
Vascular Plant,Calocedrus decurrens,Least Concern,Incense Cedar
Vascular Plant,Gayophytum decipiens,Least Concern,Deceptive Groundsmoke
Vascular Plant,Epilobium oregonense,Least Concern,"Oregon Willowherb, Oregon Willowweed"
Vascular Plant,Epilobium obcordatum,Least Concern,"Rose Willowweed, Rockfringe"
Vascular Plant,Epilobium minutum,Least Concern,"Chaparral Willowherb, Minute Willowweed"
Vascular Plant,Epilobium latifolium,Least Concern,Dwarf Fireweed
Vascular Plant,Epilobium howellii,Least Concern,Yuba Pass Willowherb
Vascular Plant,Epilobium glaberrimum ssp. glaberrimum,Least Concern,"Glaucus Willowherb, Smooth Willowweed"
Vascular Plant,Epilobium glaberrimum ssp. fastigiatum,Least Concern,"Glaucus Willowherb, Smooth Willowweed"
Vascular Plant,Epilobium foliosum,Least Concern,"Leafy Willowherb, California Willowherb"
Vascular Plant,Epilobium torreyi,Least Concern,"Narrowleaf Willowweed, Torrey's Willowherb"
Vascular Plant,Juniperus communis,Least Concern,"Dwarf Juniper, Common Juniper"
Vascular Plant,Juniperus occidentalis,Least Concern,Western Juniper
Vascular Plant,Sequoiadendron giganteum,Least Concern,"Giant Sequoia, Giant Redwood, Sierra Redwood"
Vascular Plant,Carex angustata,Least Concern,"Common Meadow Sedge, Widefruit Sedge"
Vascular Plant,Carex amplifolia,Least Concern,Bigleaf Sedge
Vascular Plant,Carex amplectens,Least Concern,Claspbract Sedge
Vascular Plant,Carex abrupta,Least Concern,Abruptbeak Sedge
Vascular Plant,Asarum lemmonii,Least Concern,Lemmon's Wildginger
Vascular Plant,Asarum hartwegii,Least Concern,Hartweg's Wildginger
Vascular Plant,Torreya californica,Least Concern,"California Torreya, California Nutmeg"
Vascular Plant,Tsuga mertensiana,Least Concern,"Alpine Hemlock, Black Hemlock, Mountain Hemlock, Hemlock Spruce"
Vascular Plant,Pseudotsuga menziesii var. menziesii,Least Concern,"Douglas-Fir, Coast Douglas-Fir"
Vascular Plant,Pinus sabiniana,Least Concern,"Digger Pine, California Foothill Pine, Gray Pine, Bull Pine"
Vascular Plant,Pinus ponderosa,Least Concern,"Blackjack Pine, Rock Pine, Bull Pine, Western Yellow Pine, Ponderosa Pine"
Vascular Plant,Pinus monticola,Least Concern,"Western White Pine, Idaho White Pine, Mountain White Pine, Silver Pine"
Vascular Plant,Pinus monophylla,Least Concern,"Nut Pine, Singleleaf Pinyon, One-Leaf Pine"
Vascular Plant,Pinus lambertiana,Least Concern,"Sugar Pine, California Sugar Pine"
Vascular Plant,Pinus jeffreyi,Least Concern,"Jeffrey's Pine, Jeffrey Pine, Black Pine"
Vascular Plant,Pinus contorta ssp. murrayana,Least Concern,"Tamarack Pine, Sierra Lodgepole Pine"
Vascular Plant,Pinus attenuata,Least Concern,Knobcone Pine
Vascular Plant,Abies concolor,Least Concern,"Balsam Fir, Colorado Fir, Silver Fir, White Fir, Concolor Fir, White Balsam"
Vascular Plant,Epilobium densiflorum,Least Concern,"Denseflower Willowherb, Denseflower Willowweed, Dense-Flower Spike-Primrose"
Vascular Plant,Mimulus bolanderi,Least Concern,Bolander's Monkeyflower
Vascular Plant,Epilobium ciliatum ssp. glandulosum,Least Concern,"Fringed Willowherb, Glandular Willowweed, Glandular Willowherb"
Vascular Plant,Epilobium ciliatum,Least Concern,"Hairy Willowherb, Fringed Willowherb, Hairy Willowweed"
Vascular Plant,Malva parviflora,Least Concern,"Small-Whorl Mallow, Cheeseweed Mallow, Cheeseweed"
Vascular Plant,Malva nicaeensis,Least Concern,Bull Mallow
